metric,value,description
phase117_current_ready_real_anchor_days,5,Ready real anchor days proven by latest Phase115/Phase110 evidence
phase117_additional_days_needed_for_min,0,Additional ready real days needed for minimum replay unlock consideration
phase117_additional_days_needed_for_target,5,Additional ready real days needed for preferred 10-day target
phase117_local_candidate_panel_rows,25,Local candidate panel roots/files inventoried
phase117_ready_candidate_panel_rows,23,Candidate panels with broad enough symbol coverage for import validation
phase117_minimum_unlock_acquisition_slots,0,Concrete missing day slots required for minimum unlock
phase117_strategy_replay_allowed,0,Current replay allowed flag inherited from Phase115
phase117_same_family_shard_continuation_allowed,0,Current failed-family compute gate inherited from Phase116
phase117_acquisition_gate_status,ready_for_phase115_execute_import,Whether additional real data must be acquired before replay work
phase117_next_best_action,run_phase115_with_execute_import_and_review_unlock,Recommended next milestone
