trade_date,exchange,symbol,raw_rows,criterion_id,computable_evidence_available,acceptance_requirement_met,current_evidence,remaining_gap,phase35_status
2026-07-13,NSE,ADANIPORTS,13886,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ADANIPORTS,13886,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,ADANIPORTS,13886,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,ADANIPORTS,13886,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,ADANIPORTS,13886,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,ADANIPORTS,13886,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,AXISBANK,18309,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,AXISBANK,18309,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,AXISBANK,18309,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,AXISBANK,18309,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,AXISBANK,18309,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,AXISBANK,18309,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,BAJAJ-AUTO,25141,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BAJAJ-AUTO,25141,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,BAJAJ-AUTO,25141,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BAJAJ-AUTO,25141,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,BAJAJ-AUTO,25141,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,BAJAJ-AUTO,25141,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,BANKBEES,18916,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BANKBEES,18916,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,BANKBEES,18916,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BANKBEES,18916,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
2026-07-13,NSE,BANKBEES,18916,multiday_class_b_coverage,False,False,current raw day can be diagnosed as a smoke/regression day,minimum 5 Class B event-grade days are not available,collector_or_multiday_evidence_missing
2026-07-13,NSE,BANKBEES,18916,timestamp_semantics,True,False,receive/monotonic/exchange timestamp columns are present and ordered in persisted data,capture-side timestamp policy document still required before Class B promotion,computable_pass_not_acceptance
2026-07-13,NSE,BHARTIARTL,19560,connection_boundary_log,False,False,tick files imply a capture window,connection open/close/reconnect/subscription ledger is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BHARTIARTL,19560,dropped_message_diagnostics,True,False,"duplicate receive-ms, stale gap and ordering symptoms are computable from persisted ticks",broker/session drop counters are not present,computable_pass_not_acceptance
2026-07-13,NSE,BHARTIARTL,19560,local_sequence_integrity,False,False,derived persisted ordering can be reconstructed,explicit callback-ingress local_sequence_id is absent,collector_or_multiday_evidence_missing
2026-07-13,NSE,BHARTIARTL,19560,lossless_compaction,True,False,raw parquet rows reconcile to Phase 1 rows and manifest file counts,repeat for every new Class B day,computable_pass_not_acceptance
