strategy_id,strategy_name,evidence_scope,current_decision,promotion_ready,acceptance_ready,realistic_positive_execution_rows,candidate_rows,acceptance_ready_rows,blocking_reason,next_action
S01,Momentum/breakout filtered by MLOFI,runnable_proxy_event_replay_salvage_feature_edge,reject_current_signal_form_redesign_required,False,False,0,0,0,No realistic positive rows in Phase25/26/27 execution evidence.,"Do not spend more compute promoting the current proxy signal. Redesign only if a new event-level hypothesis can clear spread, Zerodha charges, and latency."
S02,Pure multi-level OFI directional model,runnable_proxy_event_replay_salvage_feature_edge,reject_current_signal_form_redesign_required,False,False,0,0,0,No realistic positive rows in Phase25/26/27 execution evidence.,"Do not spend more compute promoting the current proxy signal. Redesign only if a new event-level hypothesis can clear spread, Zerodha charges, and latency."
S03,Liquidity-vacuum breakout,partial_proxy_label_replay,reject_current_proxy_label_execution_form,False,False,0,0,0,Weak proxy labels plus Phase29 no positive/candidate rows after costs.,Keep only as a research hypothesis until multi-day Class B labels and broker/exchange reconciliation exist; redesign label logic before more promotion work.
S04,Trade-flow plus depth confirmation,partial_proxy_label_replay,reject_current_proxy_label_execution_form,False,False,0,0,0,Weak proxy labels plus Phase29 no positive/candidate rows after costs.,Keep only as a research hypothesis until multi-day Class B labels and broker/exchange reconciliation exist; redesign label logic before more promotion work.
S05,Microprice entry/exit filter,runnable_proxy_event_replay_salvage_feature_edge,reject_current_signal_form_redesign_required,False,False,0,0,0,No realistic positive rows in Phase25/26/27 execution evidence.,"Do not spend more compute promoting the current proxy signal. Redesign only if a new event-level hypothesis can clear spread, Zerodha charges, and latency."
S06,Absorption and exhaustion reversal,partial_proxy_label_replay,reject_current_proxy_label_execution_form,False,False,0,0,0,Weak proxy labels plus Phase29 no positive/candidate rows after costs.,Keep only as a research hypothesis until multi-day Class B labels and broker/exchange reconciliation exist; redesign label logic before more promotion work.
S07,Mean reversion after imbalance,runnable_proxy_event_replay_salvage_feature_edge,reject_current_signal_form_redesign_required,False,False,0,0,0,No realistic positive rows in Phase25/26/27 execution evidence.,"Do not spend more compute promoting the current proxy signal. Redesign only if a new event-level hypothesis can clear spread, Zerodha charges, and latency."
S08,Cross-ticker/index lead-lag OFI,partial_proxy_label_replay,reject_current_proxy_label_execution_form,False,False,0,0,0,Weak proxy labels plus Phase29 no positive/candidate rows after costs.,Keep only as a research hypothesis until multi-day Class B labels and broker/exchange reconciliation exist; redesign label logic before more promotion work.
S09,Pure queue-imbalance scalping,runnable_proxy_event_replay_salvage_feature_edge,reject_current_signal_form_redesign_required,False,False,0,0,0,No realistic positive rows in Phase25/26/27 execution evidence.,"Do not spend more compute promoting the current proxy signal. Redesign only if a new event-level hypothesis can clear spread, Zerodha charges, and latency."
S10,Passive market making,non_alpha_control_or_risk_filter,non_alpha_control_do_not_promote,False,False,0,0,0,Not an alpha strategy under current product evidence.,Keep as execution/risk plumbing or risk filter only; exclude from alpha promotion queue.
S11,Spoof-like wall filter,non_alpha_control_or_risk_filter,non_alpha_control_do_not_promote,False,False,0,0,0,Not an alpha strategy under current product evidence.,Keep as execution/risk plumbing or risk filter only; exclude from alpha promotion queue.
