strategy_id,name,control_id,description,mandatory,expected_result,blocks_promotion_if_failed
S01,Momentum/breakout filtered by MLOFI,shuffled_same_time_bucket,Shuffle signal within the same time-of-day bucket to detect timestamp/label leakage.,True,no_promotable_edge_after_control,True
S01,Momentum/breakout filtered by MLOFI,delayed_signal,Delay signal by one or more execution events to verify edge decay.,True,no_promotable_edge_after_control,True
S01,Momentum/breakout filtered by MLOFI,inverted_signal,Invert side/sign to catch accidental sign errors or symmetric simulator bugs.,True,no_promotable_edge_after_control,True
S01,Momentum/breakout filtered by MLOFI,random_matching_turnover,Random signal with matched turnover and symbol/time distribution.,True,no_promotable_edge_after_control,True
S01,Momentum/breakout filtered by MLOFI,no_predictive_coupling_synthetic,Run on synthetic data generated without embedded predictive coupling.,True,no_promotable_edge_after_control,True
S01,Momentum/breakout filtered by MLOFI,zero_cost_vs_realistic_cost,Compare zero-cost control with realistic cost schedule.,True,no_promotable_edge_after_control,True
S01,Momentum/breakout filtered by MLOFI,zero_latency_vs_realistic_latency,Compare zero-latency control with retail/stressed profiles.,True,no_promotable_edge_after_control,True
S01,Momentum/breakout filtered by MLOFI,hidden_regime_labels,Hide regime labels to test whether strategy depends on privileged labels.,True,no_promotable_edge_after_control,True
S01,Momentum/breakout filtered by MLOFI,cross_ticker_timestamp_shift,Shift cross-ticker timestamps to detect spurious lead-lag leakage.,True,no_promotable_edge_after_control,True
S02,Pure multi-level OFI directional model,shuffled_same_time_bucket,Shuffle signal within the same time-of-day bucket to detect timestamp/label leakage.,True,no_promotable_edge_after_control,True
S02,Pure multi-level OFI directional model,delayed_signal,Delay signal by one or more execution events to verify edge decay.,True,no_promotable_edge_after_control,True
S02,Pure multi-level OFI directional model,inverted_signal,Invert side/sign to catch accidental sign errors or symmetric simulator bugs.,True,no_promotable_edge_after_control,True
S02,Pure multi-level OFI directional model,random_matching_turnover,Random signal with matched turnover and symbol/time distribution.,True,no_promotable_edge_after_control,True
S02,Pure multi-level OFI directional model,no_predictive_coupling_synthetic,Run on synthetic data generated without embedded predictive coupling.,True,no_promotable_edge_after_control,True
S02,Pure multi-level OFI directional model,zero_cost_vs_realistic_cost,Compare zero-cost control with realistic cost schedule.,True,no_promotable_edge_after_control,True
S02,Pure multi-level OFI directional model,zero_latency_vs_realistic_latency,Compare zero-latency control with retail/stressed profiles.,True,no_promotable_edge_after_control,True
S02,Pure multi-level OFI directional model,hidden_regime_labels,Hide regime labels to test whether strategy depends on privileged labels.,True,no_promotable_edge_after_control,True
S02,Pure multi-level OFI directional model,cross_ticker_timestamp_shift,Shift cross-ticker timestamps to detect spurious lead-lag leakage.,True,no_promotable_edge_after_control,True
S03,Liquidity-vacuum breakout,shuffled_same_time_bucket,Shuffle signal within the same time-of-day bucket to detect timestamp/label leakage.,True,no_promotable_edge_after_control,True
