contract_id,contract_value,description
thesis_id,P440_EXTERNAL_CATALYST_FULL_DEPTH_CONFIRMATION_PRECOMMIT,External-alpha precommit after L2-only routes failed.
selected_source,official_catalyst_reversal_with_full_depth_confirmation,Official/external catalyst provides direction context; L1-L5 depth confirms tradability.
external_alpha_axis,official_catalyst_calendar_and_context_from_local_phase387_phase393_artifacts,Not another L2-only source.
l2_role,confirmation_filter_and_slippage_context_not_primary_alpha,Full-depth remains core but does not invent direction alone.
primary_candidate,phase387_reversal_control_positive_sparse_clue,"Use as clue only, not accepted result."
event_floor_repair,require_candidate_events_before_replay_ge_30,Do not replay a sparse event set as acceptance.
direction_policy,pre_event_or_post_event_reversal_only_when_depth_confirms_exhaustion,Frozen source family.
full_depth_features,L1_spread_microprice_plus_L2_to_L5_imbalance_depth_slope_replenishment_vacuum,Top-five depth confirmation required.
controls_required,non_catalyst_date_control;side_flip;time_shifted_catalyst;L1_only_ablation;real_anchor_holdout,External-alpha controls required.
capital_policy,fixed_initial_capital_1000000_inr_order_notional_100000_inr_cost200,Annualized denominator fixed.
acceptance_floor,round_trips_ge_30;dates_ge_5;symbols_ge_5;positive_date_fraction_ge_0.6;annualized_ge_12.0,User profitability floor with breadth.
forbidden,same_l2_only_timing_variant;same_phase435_ranker_rescue;same_phase438_regime_rescue;promotion;paper_live;deployable_profitability_claim,Closed boundaries.
execution_results_generated_now,0,Precommit only.
