contract_id,contract_value,description
thesis_id,P427_BROADER_FULL_DEPTH_FEATURE_FAMILY_SWEEP,Material-new broader full-depth L2 feature-family sweep after repeated narrow-route failures.
material_difference,precommitted_multi_family_sweep_not_single_threshold_rescue,Tests several distinct full-depth archetypes without post-result threshold edits.
families,depth_pressure_continuation;depth_pressure_reversal;spread_compression_breakout;spread_expansion_fade;queue_churn_followthrough;book_slope_migration,Frozen feature families.
scenario_rows,1458,Frozen scenario grid size.
execution_profile,single_name_taker_entry_taker_exit_exact_forward_ticks_cost200,No passive fills or maker rebate.
full_depth_required,L1_to_L5_price_quantity_orders_levels_2_to_5_materiality,Primary scenarios require top-five book state.
controls,l1_only_removed_depth;side_flip;family_rank_stability;real_anchor_cross_check,Controls must be reported.
capital,initial=1000000.0;order_notional=100000.0,Fixed capital denominator.
cost_model,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,Pinned Zerodha equity intraday NSE formula.
cost_multiplier,2.0,Cost200 acceptance scoring.
acceptance,round_trips>=30;dates>=5;symbols>=5;positive_date_fraction>=0.6;annualized>=12.0;l2_l5_edge_delta>=5.0,"Broad search still needs profitability, breadth and full-depth uniqueness."
reporting_limit,top_survivors<=25,"Report bounded candidates, not unlimited curve-fit tables."
forbidden,pair_spread_rescue;queue_depletion_threshold_rescue;market_maker_rescue;passive_fill_rescue;bar_return_reversal_alone;post_result_threshold_tuning;promotion;paper_live;deployable_claim,Closed routes and boundaries.
