priority,strategy_id,strategy_name,experiment_track,phase163_synthetic_only_replay_allowed,phase163_replay_status,must_not_claim,phase162_input_root,next_action
1,S01,Momentum/breakout filtered by MLOFI,alpha_redesign_diagnostics,True,allowed_for_synthetic_only_replay_diagnostics,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run in Phase164 synthetic-only replay diagnostics on Phase162 data; do not reuse retired dense marketable rules and do not claim broker/paper/live readiness.
2,S02,Pure multi-level OFI directional model,alpha_redesign_diagnostics,True,allowed_for_synthetic_only_replay_diagnostics,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run in Phase164 synthetic-only replay diagnostics on Phase162 data; do not reuse retired dense marketable rules and do not claim broker/paper/live readiness.
3,S03,Liquidity-vacuum breakout,alpha_redesign_diagnostics,True,allowed_for_synthetic_only_replay_diagnostics,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run in Phase164 synthetic-only replay diagnostics on Phase162 data; do not reuse retired dense marketable rules and do not claim broker/paper/live readiness.
4,S04,Trade-flow plus depth confirmation,alpha_redesign_diagnostics,True,allowed_for_synthetic_only_replay_diagnostics,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run in Phase164 synthetic-only replay diagnostics on Phase162 data; do not reuse retired dense marketable rules and do not claim broker/paper/live readiness.
5,S05,Microprice entry/exit filter,alpha_redesign_diagnostics,True,allowed_for_synthetic_only_replay_diagnostics,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run in Phase164 synthetic-only replay diagnostics on Phase162 data; do not reuse retired dense marketable rules and do not claim broker/paper/live readiness.
6,S06,Absorption and exhaustion reversal,alpha_redesign_diagnostics,True,allowed_for_synthetic_only_replay_diagnostics,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run in Phase164 synthetic-only replay diagnostics on Phase162 data; do not reuse retired dense marketable rules and do not claim broker/paper/live readiness.
7,S07,Mean reversion after imbalance,alpha_redesign_diagnostics,True,allowed_for_synthetic_only_replay_diagnostics,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run in Phase164 synthetic-only replay diagnostics on Phase162 data; do not reuse retired dense marketable rules and do not claim broker/paper/live readiness.
8,S08,Cross-ticker/index lead-lag OFI,alpha_redesign_diagnostics,True,allowed_for_synthetic_only_replay_diagnostics,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run in Phase164 synthetic-only replay diagnostics on Phase162 data; do not reuse retired dense marketable rules and do not claim broker/paper/live readiness.
9,S09,Pure queue-imbalance scalping,alpha_redesign_diagnostics,True,allowed_for_synthetic_only_replay_diagnostics,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run in Phase164 synthetic-only replay diagnostics on Phase162 data; do not reuse retired dense marketable rules and do not claim broker/paper/live readiness.
10,S10,Passive market making,control_risk_plumbing,True,allowed_as_control_or_risk_plumbing_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run only as a control/risk-plumbing diagnostic; exclude from alpha promotion.
11,S11,Spoof-like wall filter,control_risk_plumbing,True,allowed_as_control_or_risk_plumbing_only,paper_or_live_acceptance; broker_fill_quality; contract_note_cost_reconciliation; strategy_promotion,raw_synthetic_l2_phase162_distributional_full_year,May run only as a control/risk-plumbing diagnostic; exclude from alpha promotion.
