forbidden_output,emitted_in_phase221,allowed_in_phase221,rationale
strategy_replay_execution,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
test_replay_execution,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
test_result,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
promotion,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
paper_live_acceptance,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
order_arrival,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
fill_model,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
pnl_replay,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
profitability_claim,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
threshold_widening,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
row_level_prediction_export,0,0,"Phase221 precommits a future replay contract only and emits no replay, test, promotion, P&L, prediction export, paper/live, or profitability artifact."
