"metric","value","description"
"phase174_required_dates","2026-07-10,2026-07-14","Dates this secure orchestrator is configured to acquire"
"phase174_env_path_checked",".env","Environment file checked for Azure credential names"
"phase174_azure_credential_names_loaded","","Loaded Azure credential variable names only; secret values are not recorded"
"phase174_sas_available","0","1 means SAS is present in process environment"
"phase174_account_key_available","0","1 means account key is present in process environment"
"phase174_download_ran","0","1 means Phase148 was invoked with download enabled"
"phase174_phase172_reran","0","1 means Phase172 was rerun after download/import"
"phase174_failed_steps","0","Workflow steps failed"
"phase174_phase173_download_ready_now","0","Phase173 download readiness after .env load"
"phase174_phase172_additional_dates_needed","2","Additional complete local real L2 dates still needed"
"phase174_strategy_replay_allowed","0","Secure download orchestration does not unlock strategy replay"
"phase174_paper_or_live_acceptance_allowed","0","Paper/live remains closed"
"phase174_next_best_action","add_AZURE_STORAGE_SAS_TOKEN_or_AZURE_STORAGE_KEY_to_env_or_process_then_rerun_phase174","Recommended next milestone"
