risk_id,mitigation_rank,mitigation,mitigation_status,current_evidence_status
R23_01_synthetic_alpha,1,negative-control generators,required_before_acceptance,open_controls_proxy_only
R23_01_synthetic_alpha,2,multiple model families,required_before_acceptance,open_controls_proxy_only
R23_01_synthetic_alpha,3,hidden holdout generator,required_before_acceptance,open_controls_proxy_only
R23_01_synthetic_alpha,4,parameter perturbation,required_before_acceptance,open_controls_proxy_only
R23_01_synthetic_alpha,5,real-data paper testing,required_before_acceptance,open_controls_proxy_only
R23_01_synthetic_alpha,6,generator-blind strategy development,required_before_acceptance,open_controls_proxy_only
R23_02_one_day_overfitting,1,pooled shrinkage,required_before_acceptance,open_until_multiday_class_b_capture
R23_02_one_day_overfitting,2,broad stress ranges,required_before_acceptance,open_until_multiday_class_b_capture
R23_02_one_day_overfitting,3,explicit uncertainty bands,required_before_acceptance,open_until_multiday_class_b_capture
R23_02_one_day_overfitting,4,multiple synthetic normal-day configurations,required_before_acceptance,open_until_multiday_class_b_capture
R23_02_one_day_overfitting,5,immediate recalibration with new real days,required_before_acceptance,open_until_multiday_class_b_capture
R23_03_unrealistic_fills,1,pessimistic execution,required_before_acceptance,open_until_broker_reconciled_lifecycle
R23_03_unrealistic_fills,2,marketable-order focus initially,required_before_acceptance,open_until_broker_reconciled_lifecycle
R23_03_unrealistic_fills,3,latency simulation,required_before_acceptance,open_until_broker_reconciled_lifecycle
R23_03_unrealistic_fills,4,partial fills,required_before_acceptance,open_until_broker_reconciled_lifecycle
R23_03_unrealistic_fills,5,depth walk,required_before_acceptance,open_until_broker_reconciled_lifecycle
R23_03_unrealistic_fills,6,adverse-selection modelling,required_before_acceptance,open_until_broker_reconciled_lifecycle
R23_04_excessive_data_volume,1,event-driven generation,implemented_or_monitored_currently,mitigated_by_current_storage_design_monitor
R23_04_excessive_data_volume,2,integer encoding,implemented_or_monitored_currently,mitigated_by_current_storage_design_monitor
R23_04_excessive_data_volume,3,Parquet/Zstandard,implemented_or_monitored_currently,mitigated_by_current_storage_design_monitor
R23_04_excessive_data_volume,4,delta-state representation,implemented_or_monitored_currently,mitigated_by_current_storage_design_monitor
R23_04_excessive_data_volume,5,separate raw and feature tiers,implemented_or_monitored_currently,mitigated_by_current_storage_design_monitor
R23_04_excessive_data_volume,6,selected dense tickers,implemented_or_monitored_currently,mitigated_by_current_storage_design_monitor
R23_04_excessive_data_volume,7,feature-only datasets for repeated experiments,implemented_or_monitored_currently,mitigated_by_current_storage_design_monitor
R23_05_false_confidence_three_months,1,synthetic engineering test,required_before_acceptance,open_governance_gate
R23_05_false_confidence_three_months,2,synthetic multi-regime stress test,required_before_acceptance,open_governance_gate
R23_05_false_confidence_three_months,3,real-data historical test,required_before_acceptance,open_governance_gate
R23_05_false_confidence_three_months,4,live paper trading,required_before_acceptance,open_governance_gate
R23_05_false_confidence_three_months,5,shadow execution,required_before_acceptance,open_governance_gate
R23_05_false_confidence_three_months,6,very small capital,required_before_acceptance,open_governance_gate
R23_05_false_confidence_three_months,7,gradual scale-up,required_before_acceptance,open_governance_gate
