blocked_reference_id,blocked_source,blocked_form,blocked_token,recommended_status,unlock_condition
PHASE164_S01_GUARDED_DIAGNOSTIC,phase165_phase164_full_year_replay_verdict,P164_S01_MLOFI_BREAKOUT,S01,block_current_phase164_form,"new precommitted feature hypothesis, changed label/execution contract, or real-anchor evidence; do not rerun same Phase164 form hoping for profit"
PHASE164_S02_GUARDED_DIAGNOSTIC,phase165_phase164_full_year_replay_verdict,P164_S02_MULTI_LEVEL_OFI,S02,block_current_phase164_form,"new precommitted feature hypothesis, changed label/execution contract, or real-anchor evidence; do not rerun same Phase164 form hoping for profit"
PHASE164_S03_GUARDED_DIAGNOSTIC,phase165_phase164_full_year_replay_verdict,P164_S03_LIQUIDITY_VACUUM,S03,block_current_phase164_form,"new precommitted feature hypothesis, changed label/execution contract, or real-anchor evidence; do not rerun same Phase164 form hoping for profit"
PHASE164_S04_GUARDED_DIAGNOSTIC,phase165_phase164_full_year_replay_verdict,P164_S04_TRADE_FLOW_DEPTH,S04,block_current_phase164_form,"new precommitted feature hypothesis, changed label/execution contract, or real-anchor evidence; do not rerun same Phase164 form hoping for profit"
PHASE164_S05_GUARDED_DIAGNOSTIC,phase165_phase164_full_year_replay_verdict,P164_S05_MICROPRICE_FILTER,S05,block_current_phase164_form,"new precommitted feature hypothesis, changed label/execution contract, or real-anchor evidence; do not rerun same Phase164 form hoping for profit"
PHASE164_S06_GUARDED_DIAGNOSTIC,phase165_phase164_full_year_replay_verdict,P164_S06_ABSORPTION_REVERSAL,S06,block_current_phase164_form,"new precommitted feature hypothesis, changed label/execution contract, or real-anchor evidence; do not rerun same Phase164 form hoping for profit"
PHASE164_S07_GUARDED_DIAGNOSTIC,phase165_phase164_full_year_replay_verdict,P164_S07_IMBALANCE_MEAN_REVERSION,S07,block_current_phase164_form,"new precommitted feature hypothesis, changed label/execution contract, or real-anchor evidence; do not rerun same Phase164 form hoping for profit"
PHASE164_S09_GUARDED_DIAGNOSTIC,phase165_phase164_full_year_replay_verdict,P164_S09_QUEUE_IMBALANCE_SCALP,S09,block_current_phase164_form,"new precommitted feature hypothesis, changed label/execution contract, or real-anchor evidence; do not rerun same Phase164 form hoping for profit"
PHASE167_S08_CROSS_SYMBOL_LEAD_LAG_CONTINUATION,phase168_s08_closure,fixed_score_threshold_0_42_market_sector_etf_lagged_depth_pressure_continuation,S08,block_current_phase167_s08_form,"new precommitted feature form, different label/execution contract, or real-anchor evidence; do not rerun this same S08 form shard-after-shard hoping for profit"
P197_PRIOR_CONTEXT_P197_TIME_OF_DAY_CONTEXT,phase197_prior_context_feature_precommit,intraday_time_context,P197_TIME_OF_DAY_CONTEXT,do_not_reuse_as_model_search_without_new_contract,Allowed only if Phase206 catalog records a materially different feature purpose and no replay/model fitting.
P197_PRIOR_CONTEXT_P197_SYMBOL_LIQUIDITY_REGIME,phase197_prior_context_feature_precommit,symbol_liquidity_regime,P197_SYMBOL_LIQUIDITY_REGIME,do_not_reuse_as_model_search_without_new_contract,Allowed only if Phase206 catalog records a materially different feature purpose and no replay/model fitting.
P197_PRIOR_CONTEXT_P197_MARKET_CONTEXT_LAGGED,phase197_prior_context_feature_precommit,lagged_market_context,P197_MARKET_CONTEXT_LAGGED,do_not_reuse_as_model_search_without_new_contract,Allowed only if Phase206 catalog records a materially different feature purpose and no replay/model fitting.
P197_PRIOR_CONTEXT_P197_ASSET_CLASS_PROXY,phase197_prior_context_feature_precommit,instrument_context,P197_ASSET_CLASS_PROXY,do_not_reuse_as_model_search_without_new_contract,Allowed only if Phase206 catalog records a materially different feature purpose and no replay/model fitting.
P197_PRIOR_CONTEXT_P197_MICROSTRUCTURE_TRANSFORMS,phase197_prior_context_feature_precommit,nonlinear_microstructure_context,P197_MICROSTRUCTURE_TRANSFORMS,do_not_reuse_as_model_search_without_new_contract,Allowed only if Phase206 catalog records a materially different feature purpose and no replay/model fitting.
